"","idx","Pm.mean","Pm.se","Pm.Bulk_ESS","Pm.Tail_ESS","Pm.Rhat","alpha.mean","alpha.se","alpha.Bulk_ESS","alpha.Tail_ESS","alpha.Rhat","Icomp.mean","Icomp.se","Icomp.Bulk_ESS","Icomp.Tail_ESS","Icomp.Rhat","samples"
"Oct","2004-10",-2.7091407498605,3.12383771262751,694.324556355372,589.816627903579,1.00078894539857,0.00054228671752598,0.00106374063625883,648.633263618106,863.064943290263,1.00268895808854,150.15284674695,85.1854777379769,1165.16506227935,693.588459926827,1.00069536299763,22.5806451612903
"Nov","2004-11",-2.19647269113035,3.04978899719009,430.458076795184,471.618890015593,1.00248788719034,0.00050572254939625,0.00113358655002549,443.33808056173,667.005123232931,1.00074491264103,150.440072986,89.2772744748627,968.686380630044,700.312899303807,1.00032069372819,96.875
"Dec","2004-12",-2.36582410980665,3.21721095777436,306.83248052849,536.091390093198,0.999964372456845,0.00054400145351031,0.00118620356297116,340.498383925132,615.014490497958,1.00168566140626,163.662436835,105.412175283156,272.94464370399,134.122970531496,1.00102009966583,98.7231182795699
"Jan","2005-01",-2.226218002977,3.00116535583195,618.356107854065,540.942736744249,0.999587026699496,0.000449834773189,0.000948275206529176,678.5944019219,590.940189259828,0.999676530335993,155.42118675415,90.2656036389532,934.740049670212,449.221327174364,1.00012855063203,94.9596774193548
"Feb","2005-02",-2.30655146336485,3.14071827563831,590.088247811567,636.039435084878,0.999809387255048,0.000420600560555435,0.00103748043516237,552.219380497993,781.046517915505,1.00003890222628,145.2146270355,87.154956496255,951.347838778076,660.581131497258,1.00009969181682,97.0982142857143
"Mar","2005-03",-1.99769851721516,2.9529020899857,659.740612268532,639.790025100155,0.999711083402562,0.00037540160468696,0.000904869566794317,684.733401942807,768.694537987092,0.999890968495557,143.036489585,83.0635586096075,941.423845925434,583.235539756232,0.999994207331063,91.7338709677419
"Apr","2005-04",-2.2332800812244,3.10792870068464,467.518646168337,633.745894093628,1.00080739999663,0.00026916287018835,0.000594781515651579,428.120542977947,679.398803634838,1.00080408936019,143.3836540935,84.1476753431584,976.178236593344,482.942202797778,0.999970200609691,96.3888888888889
"May","2005-05",-2.21033403519295,3.09915576283611,616.803628403075,629.831662630825,1.00112013834994,0.000327229898307145,0.000786384933883723,605.625552956127,755.692495293331,1.0005658530598,140.735634883,85.133917718122,981.410554685948,697.542836126636,1.00406335414362,92.2715053763441
"Jun","2005-06",-2.16810335532994,3.02219805701435,370.460563660889,436.527391387851,1.00170174314101,0.00046915707326045,0.000970494477492624,364.592403038775,648.887372601598,1.00230118296943,143.445734522,90.8344730600731,441.356199503138,346.637599964539,0.999891973273162,72.6388888888889
"Jul","2005-07",-2.6562068126584,3.05924909497798,350.924478408964,481.173660984553,0.99957071283118,0.0004167773479285,0.000790358517982935,354.607777206311,661.733639606248,0.999916412833245,145.90454638,89.176618817006,544.181285867892,573.910061808469,1.00391343162072,35.5510752688172
"Aug","2005-08",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,29.0994623655914
"Sep","2005-09",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Oct1","2005-10",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Nov1","2005-11",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Dec1","2005-12",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Jan1","2006-01",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Feb1","2006-02",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Mar1","2006-03",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Apr1","2006-04",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"May1","2006-05",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Jun1","2006-06",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Jul1","2006-07",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Aug1","2006-08",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Sep1","2006-09",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0
"Oct2","2006-10",-2.558966234685,3.08893441831866,344.407447463599,463.486819423329,0.999630674269589,0.000411681443980915,0.000832673749147435,345.382113706005,475.011528855966,0.999811593410483,136.5782828765,87.1820188945058,432.465536396615,244.384561079973,1.00314963323699,0.0672043010752688
"Nov2","2006-11",-2.3306040536937,3.22933901905013,378.535632689395,443.075514970281,1.00238257895107,0.0005344304315156,0.00130228359693121,387.594277270029,585.126602400584,1.00551586619616,153.008551175,88.4026121516155,1353.1245728197,744.282716487481,0.999510914860784,99.5138888888889
"Dec2","2006-12",-2.7977662032985,3.41885158343124,237.157091993107,350.637172448465,0.999576400659153,0.00073774184010518,0.00163519224544965,246.769949298114,546.331424242396,0.999608181232576,157.9641504555,95.4405480165173,687.103592821791,501.820736891693,1.00019544436304,26.747311827957
